S no,Brand,Model,Reference Number,Watch Name,Price,Year Of Production,Scope of delivery,Gender,Location,Source Url
0,Rolex,Air King Precision,14000M, Rolex Air King,"3,908 €",2005," Original box, original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/rolex-air-king--id15875201.htm?SETLANG=en_GB&SETCURR=EUR
1,Rolex,Air King,114234, Rolex Air-king Réf.114234,"5,600 €",Unknown," No original box, no original papers",,"France, Paris",https://www.chrono24.fr/rolex/air-king-ref114234--id16533347.htm?SETLANG=en_GB&SETCURR=EUR
2,Rolex,Air King Precision,5500, Rolex Air King &#34;Petroleum logo&#34;,"3,900 €",1981," Original box, no original papers", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/air-king-petroleum-logo--id6091802.htm?SETLANG=en_GB&SETCURR=EUR
3,Rolex,Air King Precision,14000, Rolex Air King Precision,"3,850 €",1991," Original box, original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/air-king-precision--id16060952.htm?SETLANG=en_GB&SETCURR=EUR
4,Rolex,Air King Precision,14010," Rolex Air-King Oyster Perpetual Gloss Black Dial, Engine turned bezel.","3,599 €",1997," No original box, no original papers", Men''s watch/Unisex,"Belgium, Brussels",https://www.chrono24.fr/rolex/rolex-air-king-oyster-perpetual-gloss-black-dial-engine-turned-bezel--id16058477.htm?SETLANG=en_GB&SETCURR=EUR
5,Rolex,Air King Precision,14010, Rolex Air King Precision blue dial oyster,"3,900 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/air-king-precision-blue-dial-oyster--id16173305.htm?SETLANG=en_GB&SETCURR=EUR
6,Rolex,Air King Precision,14000M, Rolex Air King Precision 14000M Full Set Cadran bleu,"4,000 €",2002," Original box, original papers", Men''s watch/Unisex,"France, Aix en Provence",https://www.chrono24.fr/rolex/air-king-precision-14000m-full-set-cadran-bleu--id16419488.htm?SETLANG=en_GB&SETCURR=EUR
7,Rolex,Air King Precision,5500, Rolex Air King Super Precision,"3,350 €",1959," No original box, no original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/montre-de-poche-air-king-super-precision--id16314018.htm?SETLANG=en_GB&SETCURR=EUR
8,Rolex,Air King,116900, Rolex Air King,"7,400 €",2019," Original box, original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/air-king--id16322296.htm?SETLANG=en_GB&SETCURR=EUR
9,Rolex,Air King,, Rolex AirKing 116900 FULL SET,"6,650 €",2016," Original box, original papers", Men''s watch/Unisex,"France, Sevrier",https://www.chrono24.fr/rolex/rolex-airking-116900-full-set--id15658198.htm?SETLANG=en_GB&SETCURR=EUR
